ticket_id,api_error_type,error_code,request_method,response_time_ms,retry_count
T008700,500 Server Error,ERR_SCHEMA,POST,801,0
T003831,500 Server Error,ERR_SCHEMA,GET,1135,1
T005246,Rate Limit,ERR_RATE,POST,72,0
T007599,Timeout,ERR_500,POST,216,1
T006444,Rate Limit,ERR_AUTH,GET,398,1
T006468,Rate Limit,ERR_SCHEMA,GET,310,1
T006565,Timeout,ERR_RATE,GET,2325,1
T001225,Rate Limit,ERR_500,GET,88,1
T008653,Rate Limit,ERR_PAYLOAD,GET,265,0
T002467,500 Server Error,ERR_500,GET,94,0
T000161,Rate Limit,ERR_SCHEMA,GET,333,1
T002239,Rate Limit,ERR_PAYLOAD,POST,102,0
T002941,Rate Limit,ERR_PAYLOAD,GET,386,1
T002605,Auth Failure,ERR_TIMEOUT,POST,305,1
T000750,Payload Error,ERR_TIMEOUT,POST,57,0
T005650,Rate Limit,ERR_PAYLOAD,GET,76,0
T006625,500 Server Error,ERR_TIMEOUT,PUT,197,0
T006289,Rate Limit,ERR_500,GET,363,1
T008850,Timeout,ERR_AUTH,POST,51,2
T000308,Timeout,ERR_AUTH,PUT,100,0
T000338,Rate Limit,ERR_500,PUT,39,2
T007121,Payload Error,ERR_500,GET,28,1
T004807,Timeout,ERR_TIMEOUT,GET,168,0
T009173,Rate Limit,ERR_AUTH,POST,75,1
T003082,Timeout,ERR_SCHEMA,DELETE,103,1
T006552,Payload Error,ERR_AUTH,POST,297,0
T004498,Auth Failure,ERR_RATE,GET,339,0
T005131,Auth Failure,ERR_SCHEMA,POST,10,0
T008369,Timeout,ERR_AUTH,POST,125,0
T000692,Auth Failure,ERR_AUTH,POST,133,3
T008620,Auth Failure,ERR_TIMEOUT,PUT,629,0
T008257,Timeout,ERR_TIMEOUT,PUT,179,1
T002877,Auth Failure,ERR_AUTH,PUT,126,0
T006433,500 Server Error,ERR_SCHEMA,PUT,58,0
T000913,Payload Error,ERR_PAYLOAD,GET,555,0
T005292,Rate Limit,ERR_RATE,GET,629,1
T004507,Schema Mismatch,ERR_PAYLOAD,GET,1099,1
T004371,Timeout,ERR_RATE,POST,651,0
T006437,Auth Failure,ERR_500,GET,441,1
T010811,Auth Failure,ERR_RATE,GET,204,0
T001012,Rate Limit,ERR_500,GET,385,2
T009083,500 Server Error,ERR_SCHEMA,POST,275,1
T006354,Timeout,ERR_500,GET,416,1
T000300,Payload Error,ERR_TIMEOUT,GET,367,0
T004190,Auth Failure,ERR_SCHEMA,GET,182,0
T001499,Rate Limit,ERR_500,PUT,192,0
T004813,Payload Error,ERR_PAYLOAD,PUT,317,2
T004133,Auth Failure,ERR_SCHEMA,POST,602,1
