ticket_id,created_at,first_response_at,resolved_at,priority,status,issue_type,channel,customer_id,agent_id,first_response_mins,resolution_time_hours,sla_hours,sla_breached,reopened,escalated,csat,created_date,created_hour,created_weekday,agent_name,team,experience_years,customer_size,customer_segment,year_month
T000001,2025-02-21 10:34:51,2025-02-21 12:04:51,2025-02-22 17:58:20.092908,High,Closed,Performance Issue,Email,C0716,A007,90.0,31.39141469666667,24,0,False,False,4.2,2025-02-21,10,Friday,Agent_7,Tier 1,1.7,Large,Retail,2025-02
T000002,2025-08-20 08:09:08,2025-08-20 11:52:08,2025-08-21 00:37:32.619889,Low,Closed,Api Failure,Chat,C0694,A010,223.0,16.473505524722224,168,0,False,False,3.8,2025-08-20,8,Wednesday,Agent_10,Tier 2,1.4,Small,Healthcare,2025-08
T000003,2024-11-27 20:38:08,2024-11-27 22:58:08,2024-11-30 00:22:49.088104,Low,Closed,Integration Config,Phone,C0371,A017,140.0,51.744746695555556,168,0,False,False,3.3,2024-11-27,20,Wednesday,Agent_17,Tier 1,1.2,Medium,Healthcare,2024-11
T000004,2024-11-21 21:36:48,2024-11-21 21:42:48,2024-11-21 22:36:48.000000,Urgent,Closed,Login Issue,Email,C0719,A030,6.0,1.0,4,0,False,False,3.2,2024-11-21,21,Thursday,Agent_30,Tier 1,9.7,Medium,Education,2024-11
T000005,2025-02-21 08:59:35,2025-02-21 15:07:35,2025-02-22 09:06:43.772157,Low,Closed,Billing Query,Email,C0147,A021,368.0,24.119103376944445,168,0,False,False,2.9,2025-02-21,8,Friday,Agent_21,Tier 2,2.0,Enterprise,Education,2025-02
T000006,2024-12-19 20:20:59,2024-12-19 22:13:59,2024-12-20 08:40:36.559491,Medium,Closed,Api Failure,Email,C0716,A013,113.0,12.327099858611112,72,0,False,False,5.0,2024-12-19,20,Thursday,Agent_13,Integration,6.6,Large,Retail,2024-12
T000007,2024-12-23 12:01:59,2024-12-23 15:03:59,2024-12-23 17:06:12.994291,Low,Closed,Ui Bug,Chat,C0498,A001,182.0,5.070553969722222,168,0,False,False,4.3,2024-12-23,12,Monday,Agent_1,Tier 1,1.3,Large,Healthcare,2024-12
T000008,2025-10-26 08:58:03,2025-10-26 16:08:03,2025-10-26 14:32:01.164335,Low,Closed,Login Issue,Email,C0048,A001,430.0,5.566156759722222,168,0,False,False,3.9,2025-10-26,8,Sunday,Agent_1,Tier 1,1.3,Large,HR,2025-10
T000009,2025-06-29 15:44:46,2025-06-29 21:23:46,2025-06-29 16:44:46.000000,Low,Closed,Performance Issue,Chat,C0770,A033,339.0,1.0,168,0,False,False,2.7,2025-06-29,15,Sunday,Agent_33,Tier 1,1.0,Medium,HR,2025-06
T000010,2024-12-24 20:59:58,2024-12-24 22:33:58,2024-12-24 21:59:58.000000,High,Closed,Data Mismatch,Email,C0651,A038,94.0,1.0,24,0,False,False,3.5,2024-12-24,20,Tuesday,Agent_38,Tier 1,1.2,Small,Education,2024-12
T000011,2025-04-21 15:17:25,2025-04-21 23:17:25,2025-04-21 16:17:25.000000,Low,Closed,Login Issue,Chat,C0172,A025,480.0,1.0,168,0,False,False,3.7,2025-04-21,15,Monday,Agent_25,Tier 1,1.7,Small,Education,2025-04
T000012,2025-03-16 00:33:47,2025-03-16 04:07:47,2025-03-17 07:42:30.327671,Medium,Closed,Payroll Sync Error,Chat,C0613,A026,214.0,31.1453687975,72,0,False,False,2.8,2025-03-16,0,Sunday,Agent_26,Tier 2,2.6,Medium,Healthcare,2025-03
T000013,2024-12-12 22:08:58,2024-12-13 01:32:58,2024-12-13 01:12:55.414951,Medium,Closed,Api Failure,Email,C0699,A013,204.0,3.0659485975000003,72,0,False,False,3.4,2024-12-12,22,Thursday,Agent_13,Integration,6.6,Medium,E-commerce,2024-12
T000014,2025-03-07 11:51:24,2025-03-07 19:21:24,2025-03-09 14:52:47.243953,Low,Closed,Payroll Sync Error,Portal,C0315,A028,450.0,51.023123320277776,168,0,False,False,3.4,2025-03-07,11,Friday,Agent_28,Tier 2,4.2,Small,Education,2025-03
T000015,2025-03-27 00:53:39,2025-03-27 02:14:39,2025-03-27 04:02:11.386527,High,Closed,Api Failure,Portal,C0376,A033,81.0,3.1423295908333335,24,0,False,False,4.7,2025-03-27,0,Thursday,Agent_33,Tier 1,1.0,Small,HR,2025-03
T000016,2025-05-25 00:50:57,2025-05-25 05:01:57,2025-05-25 13:10:20.414846,Low,Closed,Performance Issue,Email,C0533,A037,251.0,12.323170790555556,168,0,False,False,3.2,2025-05-25,0,Sunday,Agent_37,Tier 1,4.0,Medium,FinTech,2025-05
T000017,2025-02-24 05:27:41,2025-02-24 05:34:41,2025-02-25 12:34:41.388878,Urgent,Closed,Data Mismatch,Phone,C0420,A030,7.0,31.116774688333333,4,0,False,False,3.5,2025-02-24,5,Monday,Agent_30,Tier 1,9.7,Enterprise,FinTech,2025-02
T000018,2025-02-28 06:32:33,2025-02-28 07:43:33,2025-02-28 15:29:44.218908,High,Closed,Billing Query,Email,C0396,A008,71.0,8.953116363333333,24,0,False,False,2.9,2025-02-28,6,Friday,Agent_8,Integration,2.5,Enterprise,E-commerce,2025-02
T000019,2025-08-15 11:45:12,2025-08-15 14:40:12,2025-08-15 21:52:28.307172,Low,Closed,Api Failure,Chat,C0522,A001,175.0,10.121196436666667,168,0,False,False,3.6,2025-08-15,11,Friday,Agent_1,Tier 1,1.3,Small,Education,2025-08
T000020,2025-06-16 02:19:16,2025-06-16 13:35:16,2025-06-19 13:42:09.897378,Low,Closed,Integration Config,Email,C0187,A012,676.0,83.38163816055557,168,0,False,False,2.8,2025-06-16,2,Monday,Agent_12,Escalations,4.0,Medium,Healthcare,2025-06
T000021,2025-10-10 21:43:47,2025-10-11 07:16:47,2025-10-13 08:27:39.118109,Low,Closed,Ui Bug,Portal,C0645,A005,573.0,58.73114391916667,168,0,False,False,3.6,2025-10-10,21,Friday,Agent_5,Tier 1,1.6,Medium,Retail,2025-10
T000022,2025-06-28 16:40:57,2025-06-28 19:10:57,2025-06-29 09:49:36.710983,Medium,Closed,Api Failure,Email,C0033,A024,150.0,17.144364161944445,72,0,False,False,4.1,2025-06-28,16,Saturday,Agent_24,Tier 1,1.9,Large,Retail,2025-06
T000023,2024-11-14 23:17:48,2024-11-15 02:49:48,2024-11-16 07:24:32.942118,Medium,Closed,Ui Bug,Portal,C0069,A006,212.0,32.112483921666666,72,0,False,False,3.1,2024-11-14,23,Thursday,Agent_6,Tier 1,3.2,Small,Retail,2024-11
