ticket_id,sla_hours,sla_breached
T000001,24,False
T000002,168,False
T000003,168,False
T000004,4,False
T000005,168,False
T000006,72,False
T000007,168,False
T000008,168,False
T000009,168,False
T000010,24,False
T000011,168,False
T000012,72,False
T000013,72,False
T000014,168,False
T000015,24,False
T000016,168,False
T000017,4,False
T000018,24,False
T000019,168,False
T000020,168,False
T000021,168,False
T000022,72,False
T000023,72,False
T000024,24,False
T000025,168,False
T000026,72,False
T000027,72,False
T000028,72,False
T000029,168,False
T000030,168,False
T000031,168,False
T000032,168,False
T000033,168,False
T000034,72,False
T000035,168,False
T000036,24,False
T000037,168,False
T000038,72,False
T000039,72,False
T000040,168,False
T000041,168,False
T000042,168,False
T000043,72,False
T000044,72,False
T000045,4,False
T000046,168,False
T000047,24,False
T000048,72,False
T000049,168,False
T000050,168,False
T000051,168,False
T000052,72,False
T000053,24,False
T000054,168,False
T000055,168,False
T000056,168,False
T000057,168,False
T000058,24,False
T000059,168,False
T000060,168,False
T000061,24,False
T000062,168,False
T000063,168,False
T000064,72,False
T000065,72,False
T000066,72,False
T000067,72,False
T000068,168,False
T000069,168,False
T000070,24,False
T000071,168,False
T000072,4,False
T000073,168,False
T000074,24,False
T000075,72,False
T000076,168,False
T000077,168,False
T000078,72,False
T000079,72,False
T000080,72,False
T000081,168,False
T000082,72,False
T000083,168,False
T000084,168,False
T000085,168,False
T000086,168,False
T000087,24,False
T000088,168,False
T000089,168,False
T000090,72,False
T000091,168,False
T000092,24,False
T000093,168,False
T000094,24,False
T000095,168,False
T000096,168,False
T000097,72,False
T000098,72,False
T000099,72,False
T000100,168,False
T000101,168,False
T000102,72,False
T000103,168,False
T000104,168,False
T000105,24,False
T000106,72,False
T000107,24,False
T000108,72,False
T000109,168,False
T000110,168,False
T000111,24,False
T000112,168,False
T000113,72,False
T000114,168,False
T000115,72,False
T000116,72,False
T000117,72,False
T000118,4,False
T000119,168,False
T000120,72,False
T000121,168,False
T000122,168,False
T000123,24,False
T000124,168,False
T000125,72,False
T000126,4,False
T000127,168,False
T000128,168,False
T000129,168,False
T000130,168,False
T000131,168,False
T000132,168,False
T000133,72,False
T000134,72,False
T000135,24,False
T000136,168,False
T000137,168,False
T000138,168,False
T000139,168,False
T000140,24,False
T000141,4,False
T000142,168,False
