ticket_id,created_at,first_response_at,resolved_at,priority,status,issue_type,channel,customer_id,agent_id,first_response_mins,resolution_time_hours,sla_hours,sla_breached,reopened,escalated,csat
T000001,21-02-2025 10:34,21-02-2025 12:04,58:20.1,High,Closed,Performance Issue,Email,C0716,A007,90,31.39,24,FALSE,FALSE,FALSE,4.2
T000002,20-08-2025 08:09,20-08-2025 11:52,37:32.6,Low,Closed,API Failure,Chat,C0694,A010,223,16.47,168,FALSE,FALSE,FALSE,3.8
T000003,27-11-2024 20:38,27-11-2024 22:58,22:49.1,Low,Closed,Integration Config,Phone,C0371,A017,140,51.74,168,FALSE,FALSE,FALSE,3.3
T000004,21-11-2024 21:36,21-11-2024 21:42,36:48.0,Urgent,Closed,Login Issue,Email,C0719,A030,6,1,4,FALSE,FALSE,FALSE,3.2
T000005,21-02-2025 08:59,21-02-2025 15:07,06:43.8,Low,Closed,Billing Query,Email,C0147,A021,368,24.12,168,FALSE,FALSE,FALSE,2.9
T000006,19-12-2024 20:20,19-12-2024 22:13,40:36.6,Medium,Closed,API Failure,Email,C0716,A013,113,12.33,72,FALSE,FALSE,FALSE,5
T000007,23-12-2024 12:01,23-12-2024 15:03,06:13.0,Low,Closed,UI Bug,Chat,C0498,A001,182,5.07,168,FALSE,FALSE,FALSE,4.3
T000008,26-10-2025 08:58,26-10-2025 16:08,32:01.2,Low,Closed,Login Issue,Email,C0048,A001,430,5.57,168,FALSE,FALSE,FALSE,3.9
T000009,29-06-2025 15:44,29-06-2025 21:23,44:46.0,Low,Closed,Performance Issue,Chat,C0770,A033,339,1,168,FALSE,FALSE,FALSE,2.7
T000010,24-12-2024 20:59,24-12-2024 22:33,59:58.0,High,Closed,Data Mismatch,Email,C0651,A038,94,1,24,FALSE,FALSE,FALSE,3.5
T000011,21-04-2025 15:17,21-04-2025 23:17,17:25.0,Low,Closed,Login Issue,Chat,C0172,A025,480,1,168,FALSE,FALSE,FALSE,3.7
T000012,16-03-2025 00:33,16-03-2025 04:07,42:30.3,Medium,Closed,Payroll Sync Error,Chat,C0613,A026,214,31.15,72,FALSE,FALSE,FALSE,2.8
T000013,12-12-2024 22:08,13-12-2024 01:32,12:55.4,Medium,Closed,API Failure,Email,C0699,A013,204,3.07,72,FALSE,FALSE,FALSE,3.4
T000014,07-03-2025 11:51,07-03-2025 19:21,52:47.2,Low,Closed,Payroll Sync Error,Portal,C0315,A028,450,51.02,168,FALSE,FALSE,FALSE,3.4
T000015,27-03-2025 00:53,27-03-2025 02:14,02:11.4,High,Closed,API Failure,Portal,C0376,A033,81,3.14,24,FALSE,FALSE,FALSE,4.7
T000016,25-05-2025 00:50,25-05-2025 05:01,10:20.4,Low,Closed,Performance Issue,Email,C0533,A037,251,12.32,168,FALSE,FALSE,FALSE,3.2
T000017,24-02-2025 05:27,24-02-2025 05:34,34:41.4,Urgent,Closed,Data Mismatch,Phone,C0420,A030,7,31.12,4,FALSE,FALSE,FALSE,3.5
T000018,28-02-2025 06:32,28-02-2025 07:43,29:44.2,High,Closed,Billing Query,Email,C0396,A008,71,8.95,24,FALSE,FALSE,FALSE,2.9
